ZIP Code,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Fire - Incurred Losses,Non-CAT Cov A Fire - Number of Claims,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Fire - Incurred Losses,CAT Cov A Fire - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,CAT Cov C Fire - Incurred Losses,CAT Cov C Fire - Number of Claims,CAT Cov C Smoke - Incurred Losses,CAT Cov C Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021
92506,485911.93,325908.9,0.48,3741,2379,284,36,4,8356458,6444,628338,10,2913,2,122977,5,0,0,13179,1,29159,2,0,0,7771,1,9279740,6506
92507,387117.17,230979.39,0.63,2089,1153,297,190,9,3376165,3739,817653,4,13449,3,327493,3,4410,1,501587,6,21616,4,154203,4,11000,2,3799400,3885
92508,524503.0,339790.83,0.4,2937,1527,153,8,0,6180919,4624,338226,8,39924,3,165482,4,9758,2,0,0,28955,3,0,0,0,0,6649541,4539
92509,337659.54,221654.96,0.53,4596,2335,658,146,5,7606361,7740,1511142,10,19701,3,734350,8,0,0,0,0,10152,2,0,0,0,0,8307848,7743
92517,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92518,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92521,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92522,1100000.0,550000.0,2.0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533,1
92530,375064.52,230072.9,0.7,3432,1660,690,238,133,6437432,6152,2100,1,0,0,5671,2,0,0,0,0,0,0,0,0,0,0,7167339,6326
92531,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92532,532310.6,310032.06,0.71,2270,1052,541,69,140,4975399,4072,475714,1,6973,2,76283,1,940,1,0,0,0,0,0,0,0,0,5393461,3964
92536,422853.1,273513.14,2.09,3,66,146,65,17,478809,297,807990,2,0,0,269593,2,0,0,0,0,0,0,0,0,0,0,530103,293
92539,332681.3,208545.41,2.01,6,50,75,60,2,315534,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325318,184
92543,304315.8,194410.48,0.43,1271,760,49,7,2,1767081,2091,4988,1,35998,2,0,0,0,0,0,0,0,0,0,0,0,0,1932150,2114
92544,369166.55,231993.81,0.58,2621,1319,236,239,11,4544864,4426,533142,6,21736,2,29269,3,10288,2,0,0,0,0,0,0,0,0,4946120,4413
92545,380919.67,232998.41,0.42,2659,1389,104,16,24,3980355,4193,309877,4,3027,1,109645,4,0,0,0,0,0,0,0,0,0,0,4401458,4213
92546,198000.0,138600.0,0.0,1,0,0,0,0,722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,1
92548,377037.97,237734.78,1.2,49,104,63,17,0,277537,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301528,236
92549,356558.98,231726.38,2.85,11,4,290,1240,80,1820873,1624,28365,1,0,0,7667,1,0,0,0,0,0,0,0,0,0,0,1989718,1591
92551,348664.31,223304.46,0.21,2539,640,4,6,0,2970558,3189,6795,2,22593,4,0,0,4410,1,11777,1,8066,3,0,0,5500,1,3219929,3147
92552,486250.0,295900.0,0.0,2,0,0,0,0,2177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542,2
92553,300546.18,196289.41,0.19,4847,1112,2,0,0,5093286,5962,1018856,13,68439,11,452835,10,9168,3,53958,3,58845,5,20774,1,7911,1,5459221,5896
92554,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92555,464113.09,289260.61,0.38,3767,1349,235,38,28,6078578,5417,236662,6,113529,11,45531,4,16779,5,63092,5,72185,7,20129,3,96,1,6631177,5359
92557,371812.33,241112.82,0.42,4242,1733,299,91,24,6332932,6390,440118,8,43784,9,168674,6,0,0,11192,3,81267,6,480,1,0,0,6850408,6386
92561,486554.11,307996.14,1.99,13,83,195,82,12,657580,385,27097,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757527,406
92562,604559.89,362200.76,0.88,3272,3034,1058,513,71,12274899,7948,691251,7,4369,1,253882,4,655,1,7021,1,0,0,0,0,0,0,13442441,7919
92563,564599.12,323130.46,0.64,4071,3130,432,98,187,9655251,7919,508811,5,899,1,235048,3,0,0,0,0,0,0,0,0,0,0,10748773,8072
92564,990000.0,693000.0,2.0,0,0,1,0,0,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92567,371163.15,239018.15,0.86,266,523,83,29,0,1045740,901,7073,1,0,0,3650,1,0,0,0,0,0,0,0,0,0,0,1115535,883
92570,398094.58,249747.0,0.96,1241,1721,676,166,21,4528052,3826,195400,3,8237,1,144209,5,0,0,0,0,23128,1,0,0,9658,1,5045986,3909
92571,387219.01,225836.63,0.32,3611,1221,39,101,2,4921438,4975,189319,3,8451,2,13693,2,27074,2,1214,1,3129,2,0,0,0,0,5276371,4844
92572,420000.0,294000.0,3.0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,1
92581,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0
92582,431756.21,266287.9,0.38,1604,655,52,44,0,2257605,2356,468000,1,6992,1,43674,1,335,1,0,0,25214,1,0,0,4879,1,2488743,2353
92583,335997.15,215205.75,0.3,2011,733,23,19,2,2386351,2788,11135,1,0,0,0,0,0,0,0,0,1323,1,0,0,0,0,2604124,2787
92584,500695.31,302834.96,0.59,4235,2566,435,75,184,8102713,7495,204350,3,0,0,223934,3,0,0,0,0,0,0,0,0,0,0,9338884,7948
92585,438341.36,273545.68,0.47,1885,1030,88,77,0,3017645,3080,380329,3,0,0,145836,3,0,0,0,0,0,0,0,0,0,0,3507097,3331
92586,315123.08,202240.76,0.38,2052,1106,32,16,0,2608733,3207,11663,1,3779,1,6450,1,0,0,0,0,0,0,0,0,0,0,2829335,3218
92587,482773.09,322727.5,0.54,1696,899,251,46,10,3621673,2902,634260,5,0,0,322013,4,0,0,0,0,0,0,0,0,0,0,4110328,3014
92589,866000.0,649500.0,1.0,0,1,0,0,0,4377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5031,1
92590,953092.9,635286.44,1.92,21,161,166,95,36,1250469,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360765,485
