ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,Total CAT Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium,Avg CAT Loss,Avg Non-CAT Loss,Avg CAT Claims,Avg Non-CAT Claims,Avg Premium 2021,Claim Frequency,Average Claim Severity
90670,221197.43,0.28,1157,445,0,0,0,3209,1,4262,2,1598,1,0,0,1303113,1585,758.1622971285892,0.0,5.6610486891385765,0.0024968789013732834,0.0,822.1533123028391,0.0024968789013732834,2267.25
90680,212729.56,0.31,946,417,0,1,0,18711,2,46403,1,0,0,0,0,1014251,1338,694.075513196481,0.0,47.73753665689149,0.0021994134897360706,0.0,758.0351270553065,0.0021994134897360706,21704.666666666668
90701,273450.39,0.26,956,331,0,0,0,11626,1,0,0,0,0,22752,3,1186910,1280,860.7597200622084,17.692068429237946,9.040435458786936,0.0007776049766718507,0.0023328149300155523,927.2734375,0.003110419906687403,8594.5
90703,309586.94,0.3,4105,1738,0,0,0,18240,3,359876,2,0,0,0,0,6006137,5733,958.4603799418107,0.0,64.71264761252782,0.0008557247989046722,0.0,1047.6429443572301,0.0008557247989046722,75623.2
90706,232315.43,0.31,3019,1370,1,0,0,0,0,242302,2,0,0,14214,2,3604759,4349,763.9902072420861,3.237075836939194,55.18150762924163,0.0004554771122751082,0.0004554771122751082,828.8707748907794,0.0009109542245502164,64129.0
90710,281378.0,0.36,1098,625,0,0,0,0,0,62308,1,0,0,0,0,1738239,1734,917.6806039488966,0.0,36.18350754936121,0.0005807200929152149,0.0,1002.4446366782007,0.0005807200929152149,62308.0
90712,240884.73,0.35,2862,1520,1,0,0,0,0,114750,4,0,0,5400,1,3415199,4376,712.0006844626968,1.2320328542094456,26.18069815195072,0.0009126169290440338,0.00022815423226100844,780.4385283363803,0.0011407711613050423,24030.0
90713,231774.61,0.4,2585,1737,0,0,0,3368,1,11369,2,40786,1,0,0,3225043,4308,682.0076353540028,0.0,12.846598796853309,0.0009254974548819991,0.0,748.6172237697307,0.0009254974548819991,13880.75
90715,221257.75,0.28,1110,424,0,0,0,0,0,17990,1,0,0,1315,1,1160498,1513,703.9530638852673,0.8572359843546284,11.727509778357236,0.000651890482398957,0.000651890482398957,767.0178453403834,0.001303780964797914,9652.5
90716,178814.46,0.32,373,175,0,0,0,0,0,0,0,0,0,8522,3,393669,545,670.029197080292,15.55109489051095,0.0,0.0,0.005474452554744526,722.3284403669725,0.005474452554744526,2840.6666666666665
90720,381555.26,0.45,1356,1068,11,0,0,25127,1,0,0,4779,1,20697,1,3186194,2420,1198.3071868583163,8.499794661190965,12.281724845995893,0.0008213552361396304,0.0004106776180698152,1316.6090909090908,0.0012320328542094457,16867.666666666668
90723,194227.9,0.33,1290,628,0,0,0,0,0,49486,3,0,0,40508,6,1352738,1915,654.0980187695516,21.119916579770596,25.800834202294055,0.0015641293013555788,0.0031282586027111575,706.3906005221933,0.0046923879040667365,9999.333333333334
90731,275614.54,0.4,1855,1219,11,0,0,0,0,24797,2,0,0,0,0,3318842,3089,993.2168557536467,0.0,8.037925445705024,0.0006482982171799027,0.0,1074.4066040789899,0.0006482982171799027,12398.5
90732,330661.26,0.42,1093,794,0,0,0,0,0,106066,1,0,0,0,0,2222827,1889,1085.6165254237287,0.0,56.17902542372882,0.0005296610169491525,0.0,1176.721545791424,0.0005296610169491525,106066.0
90740,394165.02,0.5,1038,1030,6,0,0,7787,1,180373,2,0,0,0,0,2604227,2096,1131.1104146576663,0.0,90.72324011571843,0.0014464802314368371,0.0,1242.4747137404581,0.0014464802314368371,62720.0
