ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium 2021
90069.0,961682.89,1.35,297.0,371.0,376.0,147.0,18.0,6658116.0,1208.0,0.0,0,5842.0,1,0.0,0,0.0,0.0,7602666.0,1270.0,5986.351181102362
90077.0,1119562.8495999984,2.41,5.0,450.0,262.0,824.0,170.0,12270612.789999997,1711.0,0.0,0,131403.0,1,0.0,0,0.0,0.0,14013614.0,1757.0,7975.875924871941
90088.0,366143.15,3.078299999999999,0.0,0.0,0.0,0.0,1.0,1859.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2646.0,1.0,2646.0
90094.0,619259.61,0.4,129.0,76.0,3.0,0.0,0.0,324972.0,208.0,0.0,0,0.0,0,0.0,0,0.0,0.0,361966.0,218.0,1660.394495412844
90201.0,189299.63,0.37,1317.0,780.0,0.0,1.0,0.0,1409322.0,2098.0,5999.0,1,4737.0,1,0.0,0,61588.0,12.0,1540831.0,2124.0,725.4383239171375
90210.0,1119562.8495999984,1.87,541.0,830.0,667.0,895.0,177.82999999999993,12270612.789999997,3229.0,0.0,0,23764.0,1,0.0,0,0.0,0.0,14027102.329999998,3249.0,4317.359904586026
90211.0,586833.87,0.38,341.0,186.0,7.0,1.0,0.0,1237134.0,535.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1310630.0,542.0,2418.1365313653137
90212.0,806899.36,0.48,327.0,231.0,22.0,0.0,1.0,1774935.0,581.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1989262.0,585.0,3400.447863247863
90220.0,177497.15,0.31,2187.0,993.0,0.0,0.0,0.0,2502755.0,3180.0,0.0,0,87764.0,2,0.0,0,350.0,1.0,2798167.0,3211.0,871.4316412332606
90221.0,179268.17,0.34,1838.0,937.0,0.0,0.0,0.0,2138470.0,2775.0,0.0,0,257405.0,3,0.0,0,12636.0,3.0,2333056.0,2809.0,830.564613741545
90222.0,167301.61,0.31,1233.0,557.0,0.0,0.0,0.0,1374001.0,1790.0,2484.0,1,5244.0,1,1530.0,1,6316.0,1.0,1506179.0,1821.0,827.116419549698
90224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,115.0,1.0,115.0
90230.0,316530.88,0.29,1471.0,606.0,2.0,0.0,0.0,2216357.0,2078.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2418170.0,2087.0,1158.6823191183516
90232.0,352284.93,0.31,812.0,356.0,1.0,0.0,0.0,1406102.0,1169.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1572325.0,1184.0,1327.977195945946
90240.0,319480.11,0.33,1784.0,894.0,1.0,0.0,0.0,2659079.0,2679.0,8047.0,1,10580.0,1,0.0,0,26502.0,4.0,2888739.0,2661.0,1085.5839909808342
90241.0,298794.05,0.33,2101.0,1032.0,0.0,1.0,0.0,2857351.0,3134.0,13882.0,1,39424.0,2,0.0,0,24484.0,3.0,3107267.0,3132.0,992.10312899106
